Leitura de r‚gua	
Esta‡Æo:	S12LT
Operador:	_____
	
	
11/11/2018 08:10	1.19
11/11/2018 08:20	1.18
11/11/2018 08:30	1.21
11/11/2018 08:40	1.17
11/11/2018 08:50	1.22
11/11/2018 09:00	1.19
11/11/2018 09:10	1.24
11/11/2018 09:20	1.24
11/11/2018 09:30	1.27
11/11/2018 09:40	1.29
11/11/2018 09:50	1.32
11/11/2018 10:00	1.35
11/11/2018 10:10	1.45
11/11/2018 10:20	1.51
11/11/2018 10:30	1.59
11/11/2018 10:40	1.60
11/11/2018 10:50	1.70
11/11/2018 11:00	1.75
11/11/2018 11:10	1.85
11/11/2018 11:20	1.96
11/11/2018 11:30	1.98
11/11/2018 11:40	2.12
11/11/2018 11:50	2.19
11/11/2018 12:00	2.30
11/11/2018 12:10	2.28
11/11/2018 12:20	2.37
11/11/2018 12:30	2.41
11/11/2018 12:40	2.40
11/11/2018 12:50	2.47
11/11/2018 13:00	2.45
11/11/2018 13:10	2.47
11/11/2018 13:20	2.58
11/11/2018 13:30	2.58
11/11/2018 13:40	2.59
11/11/2018 13:50	2.57
11/11/2018 14:00	2.63
11/11/2018 14:10	2.58
11/11/2018 14:20	2.62
11/11/2018 14:30	2.57
11/11/2018 14:40	2.62
11/11/2018 14:50	2.58
11/11/2018 15:00	2.60
11/11/2018 15:10	2.53
11/11/2018 15:20	2.50
11/11/2018 15:30	2.53
11/11/2018 15:40	2.46
11/11/2018 15:50	2.49
11/11/2018 16:00	2.42
11/11/2018 16:10	2.35
11/11/2018 16:20	2.20
11/11/2018 16:30	2.16
11/11/2018 16:40	2.06
11/11/2018 16:50	2.07
11/11/2018 17:00	1.98
11/11/2018 17:10	1.95
11/11/2018 17:20	1.89
11/11/2018 17:30	1.86
11/11/2018 17:40	1.81
11/11/2018 17:50	1.68
11/11/2018 18:00	1.61
11/11/2018 18:10	1.57
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
