"Series Data"
"E:\WA2114\WA2114_000_000_CUR.PD0"
"Broadband 614.4 kHz"
"Pings/Ens ="	180
"Time/Ping = 00:01.00"
"First Ensemble Date = 14/10/31"
"First Ensemble Time = 07:00:00.00"
"Ensemble Interval (s) = "	600.00
"1st Bin Range (m) = "	2.12
"Bin Size (m) ="	1.00


Ens	YR	MO	DA	HH	MM	SS	HH		"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"
									"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"
									1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40

1	14	10	31	07	00	00	00																																									
2	14	10	31	07	10	00	00																																									
3	14	10	31	07	20	00	00																																									
4	14	10	31	07	30	00	00																																									
5	14	10	31	07	40	00	00																																									
6	14	10	31	07	50	00	00																																									
7	14	10	31	08	00	00	00																																									
8	14	10	31	08	10	00	00																																									
9	14	10	31	08	20	00	00																																									
10	14	10	31	08	30	00	00																																									
11	14	10	31	08	40	00	00																																									
12	14	10	31	08	50	00	00																																									
13	14	10	31	09	00	00	00																																									
14	14	10	31	09	10	00	00																																									
15	14	10	31	09	20	00	00																																									
16	14	10	31	09	30	00	00																																									
17	14	10	31	09	40	00	00																																									
18	14	10	31	09	50	00	00																																									
19	14	10	31	10	00	00	00																																									
20	14	10	31	10	10	00	00																																									
21	14	10	31	10	20	00	00																																									
22	14	10	31	10	30	00	00																																									
