Series Data									
E:\WA2114\WA2114_000_000_CUR.PD0									
Broadband 614.4 kHz									
Pings/Ens =	180								
Time/Ping = 00:01.00									
First Ensemble Date = 14/10/31									
First Ensemble Time = 07:00:00.00									
Ensemble Interval (s) = 	600								
1st Bin Range (m) = 	2.12								
Bin Size (m) =	1								


Ens	YR	MO	DA	HH	MM	SS	HH		Dep
									m


1	14	10	31	7	0	0	0		0.003
2	14	10	31	7	10	0	0		0.001
3	14	10	31	7	20	0	0		0
4	14	10	31	7	30	0	0		0
5	14	10	31	7	40	0	0		0
6	14	10	31	7	50	0	0		0
7	14	10	31	8	0	0	0		0
8	14	10	31	8	10	0	0		0.002
9	14	10	31	8	20	0	0		0.01
10	14	10	31	8	30	0	0		0.011
11	14	10	31	8	40	0	0		0.023
12	14	10	31	8	50	0	0		0
13	14	10	31	9	0	0	0		0.01
14	14	10	31	9	10	0	0		0.012
15	14	10	31	9	20	0	0		0.033
16	14	10	31	9	30	0	0		0.064
17	14	10	31	9	40	0	0		0.083
18	14	10	31	9	50	0	0		0.1
19	14	10	31	10	0	0	0		0.114
20	14	10	31	10	10	0	0		0.093
21	14	10	31	10	20	0	0		0.108
22	14	10	31	10	30	0	0		0.125
23	14	10	31	10	40	0	0		0.133
24	14	10	31	10	50	0	0		0.095
25	14	10	31	11	0	0	0		0.077
26	14	10	31	11	10	0	0		0.077
27	14	10	31	11	20	0	0		0.088
28	14	10	31	11	30	0	0		0.079
29	14	10	31	11	40	0	0		0.097
30	14	10	31	11	50	0	0		0.087
31	14	10	31	12	0	0	0		0.081
32	14	10	31	12	10	0	0		0.089
33	14	10	31	12	20	0	0		0.079
34	14	10	31	12	30	0	0		0.08
35	14	10	31	12	40	0	0		0.069
36	14	10	31	12	50	0	0		0.09
37	14	10	31	13	0	0	0		0.073
38	14	10	31	13	10	0	0		0.06
39	14	10	31	13	20	0	0		0.056
40	14	10	31	13	30	0	0		0.059
41	14	10	31	13	40	0	0		0.063
42	14	10	31	13	50	0	0		0.064
43	14	10	31	14	0	0	0		0.062
44	14	10	31	14	10	0	0		0.068
45	14	10	31	14	20	0	0		0.07
46	14	10	31	14	30	0	0		0.053
47	14	10	31	14	40	0	0		0.056
48	14	10	31	14	50	0	0		0.068
49	14	10	31	15	0	0	0		0.053
50	14	10	31	15	10	0	0		0.071
51	14	10	31	15	20	0	0		0.075
52	14	10	31	15	30	0	0		0.078
53	14	10	31	15	40	0	0		0.082
54	14	10	31	15	50	0	0		0.087
55	14	10	31	16	0	0	0		0.091
56	14	10	31	16	10	0	0		0.093
57	14	10	31	16	20	0	0		0.092
58	14	10	31	16	30	0	0		0.089
59	14	10	31	16	40	0	0		0.08
60	14	10	31	16	50	0	0		0.073
61	14	10	31	17	0	0	0		0.091
62	14	10	31	17	10	0	0		0.078
63	14	10	31	17	20	0	0		0.075
64	14	10	31	17	30	0	0		0.059
65	14	10	31	17	40	0	0		0.057
66	14	10	31	17	50	0	0		0.079
67	14	10	31	18	0	0	0		0.077
68	14	10	31	18	10	0	0		0.066
69	14	10	31	18	20	0	0		0.066
70	14	10	31	18	30	0	0		0.082
71	14	10	31	18	40	0	0		0.084
72	14	10	31	18	50	0	0		0.063
73	14	10	31	19	0	0	0		0.072
74	14	10	31	19	10	0	0		0.069
75	14	10	31	19	20	0	0		0.071
76	14	10	31	19	30	0	0		0.083
77	14	10	31	19	40	0	0		0.084
78	14	10	31	19	50	0	0		0.075
79	14	10	31	20	0	0	0		0.095
80	14	10	31	20	10	0	0		0.099
81	14	10	31	20	20	0	0		0.087
82	14	10	31	20	30	0	0		0.082
83	14	10	31	20	40	0	0		0.081
84	14	10	31	20	50	0	0		0.095
85	14	10	31	21	0	0	0		0.1
86	14	10	31	21	10	0	0		0.098
87	14	10	31	21	20	0	0		0.091
88	14	10	31	21	30	0	0		0.1
89	14	10	31	21	40	0	0		0.104
90	14	10	31	21	50	0	0		0.109
91	14	10	31	22	0	0	0		0.062
92	14	10	31	22	10	0	0		0.069
93	14	10	31	22	20	0	0		0.092
94	14	10	31	22	30	0	0		0.11
95	14	10	31	22	40	0	0		0.125
96	14	10	31	22	50	0	0		0.12
97	14	10	31	23	0	0	0		0.118
98	14	10	31	23	10	0	0		0.121
99	14	10	31	23	20	0	0		0.125
100	14	10	31	23	30	0	0		0.12
101	14	10	31	23	40	0	0		0.118
102	14	10	31	23	50	0	0		0.108
103	14	11	1	0	0	0	0		0.097
104	14	11	1	0	10	0	0		0.085
