"TOA5","CR1000-M1","CR1000","22372","CR1000.Std.24","CPU:D - M1.CR1","02009","M_10"
"TIMESTAMP","RECORD","BattV","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Std","WS_ms_Max","AirTC_Avg","RH","BP_700_Avg"
"TS","RN","Volts","meters/second","Deg","Deg","meters/second","meters/second","Deg C","%",""
"","","Smp","WVc","WVc","WVc","Std","Max","Avg","Smp","Avg"
"2014-10-29 16:10:00",389,12.89,3.736,84.8,23.7,1.35,7.52,27.22,80.2,301.7
"2014-10-29 16:20:00",390,12.99,5.301,99.1,12.51,1.107,8.33,26.75,83.4,309.1
"2014-10-29 16:30:00",391,12.9,4.979,99.6,8.12,0.894,7.88,26.51,85.3,309.1
"2014-10-29 16:40:00",392,12.77,4.912,95.6,9.97,0.987,8.16,26.51,85.4,309.1
"2014-10-29 16:50:00",393,12.61,5.447,102.5,7.578,0.979,8.42,26.36,86.2,309.2
"2014-10-29 17:00:00",394,12.56,5.012,103.8,7.806,0.854,8.18,26.31,85,309.4
"2014-10-29 17:10:00",395,12.49,5.62,103.1,7.554,1.028,8.53,26.34,84.4,309.5
"2014-10-29 17:20:00",396,12.52,5.967,104.8,7.104,0.961,8.75,26.3,84.9,309.6
"2014-10-29 17:30:00",397,12.56,5.827,107.2,6.305,0.819,7.92,26.22,87.2,309.8
"2014-10-29 17:40:00",398,12.56,5.752,110.1,6.682,0.95,8.67,26.09,86.2,310
"2014-10-29 17:50:00",399,12.56,6.447,109.4,5.921,0.987,8.22,26.13,86.9,310
"2014-10-29 18:00:00",400,12.56,6.321,109,5.865,0.989,8.29,26.11,85.5,310.2
"2014-10-29 18:10:00",401,12.56,5.881,105.4,6.548,0.942,8.08,26.17,84.1,310.3
"2014-10-29 18:20:00",402,12.56,6.118,102.9,6.372,0.904,8.32,26.18,84.7,310.3
"2014-10-29 18:30:00",403,12.56,6.251,105.1,7.149,1.014,8.8,26.15,85.1,310.1
"2014-10-29 18:40:00",404,12.56,6.76,106.6,6.874,1.076,8.81,26.11,85.5,310.2
"2014-10-29 18:50:00",405,12.56,5.834,104.2,7.511,0.915,8.11,26.09,86,310.5
"2014-10-29 19:00:00",406,12.55,6.032,106.8,5.879,0.968,9.19,26.11,85.6,310.7
"2014-10-29 19:10:00",407,12.55,6.18,105.5,7.569,1.066,8.43,26.1,85.4,310.9
"2014-10-29 19:20:00",408,12.55,5.93,107.2,6.254,0.813,8,26.06,87.6,311
"2014-10-29 19:30:00",409,12.55,5.595,103,7.361,1.026,8.46,26.05,84.3,311.1
"2014-10-29 19:40:00",410,12.55,5.921,102.7,8.34,1.131,9.06,26.14,84.3,311.3
"2014-10-29 19:50:00",411,12.54,5.853,107.2,6.402,0.859,8.42,26.08,84.2,311.4
"2014-10-29 20:00:00",412,12.54,5.883,103.2,7.568,0.961,8.81,26.09,83.3,311.5
"2014-10-29 20:10:00",413,12.51,5.613,103.2,7.853,0.804,8.31,26.14,84.8,311.8
"2014-10-29 20:20:00",414,12.5,5.93,106.1,7.266,0.841,8.22,26.06,84,311.8
"2014-10-29 20:30:00",415,12.5,5.839,102.5,7.113,0.933,8.01,26.08,83.3,311.9
"2014-10-29 20:40:00",416,12.5,5.305,99.7,9.92,1.035,8.88,26.09,84.3,312
