Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1244568,-,-,-,40.69,-74.02,0,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2012,1,1,0,30,0,0,0,0,0,0,0,4,121.64,0,0.047,4.7,1.2650000000000001,288.3,100,5,1010,0.0000,0.0000,N/A
2012,1,1,1,30,0,0,0,0,0,0,0,2,133,0,0.047,4.9,1.204,288.5,100,4,1010,0.0000,0.0000,N/A
2012,1,1,2,30,0,0,0,0,0,0,0,2,144.12,0,0.047,4.9,1.1520000000000001,291,100,3,1010,0.0000,0.0000,N/A
2012,1,1,3,30,0,0,0,0,0,0,0,2,154.26,0,0.047,4.9,1.114,293.3,100,3,1010,0.0000,0.0000,N/A
2012,1,1,4,30,0,0,0,0,0,0,0,2,161.31,0,0.047,4.9,1.092,296.3,100,3,1010,0.0000,0.0000,N/A
2012,1,1,5,30,0,0,0,0,0,0,0,2,161.20000000000002,0,0.047,4.800000000000001,1.08,303.2,100,3,1010,0.0000,0.0000,N/A
2012,1,1,6,30,0,0,0,0,0,0,1,2,154.02,0,0.047,4.4,1.06,307.5,100,2,1010,0.0000,0.0000,N/A
2012,1,1,7,30,0,0,0,0,0,0,1,1,143.84,0,0.047,3.8000000000000003,1.025,314.40000000000003,100,2,1010,0.0000,0.0000,N/A
2012,1,1,8,30,0,0,0,0,0,0,0,1,132.71,0,0.047,3.2,0.997,318.8,100,2,1010,0.0000,0.0000,N/A
2012,1,1,9,30,0,0,0,0,0,0,0,1,121.35000000000001,0,0.047,2.9000000000000004,0.997,316.3,100,2,1010,0.0000,0.0000,N/A
