Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1034659,-,-,-,33.21,-81.3,0,65,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2012,1,1,0,30,0,0,0,0,0,0,0,6,114.79,0,0.127,1,0.8210000000000001,281.1,81.88,9,1010,0.0000,0.0000,N/A
2012,1,1,1,30,0,0,0,0,0,0,0,5,127.18,0,0.127,1.1,0.8240000000000001,281.1,81.29,9,1010,0.0000,0.0000,N/A
2012,1,1,2,30,0,0,0,0,0,0,0,5,139.71,0,0.127,1.1,0.8230000000000001,276.40000000000003,86.3,8,1010,0.0000,0.0000,N/A
2012,1,1,3,30,0,0,0,0,0,0,0,5,152.12,0,0.127,1.1,0.8190000000000001,272,85.2,8,1010,0.0000,0.0000,N/A
2012,1,1,4,30,0,0,0,0,0,0,0,5,163.63,0,0.127,1,0.812,269.40000000000003,83.87,8,1010,0.0000,0.0000,N/A
2012,1,1,5,30,0,0,0,0,0,0,0,5,169.83,0,0.127,1,0.805,266.6,88.76,7,1010,0.0000,0.0000,N/A
2012,1,1,6,30,0,0,0,0,0,0,0,5,163.07,0,0.127,0.9,0.804,264.40000000000003,94.22,6,1010,0.0000,0.0000,N/A
2012,1,1,7,30,0,0,0,0,0,0,0,5,151.46,0,0.127,0.8,0.8230000000000001,263.6,93.46000000000001,6,1010,0.0000,0.0000,N/A
2012,1,1,8,30,0,0,0,0,0,0,0,4,139.03,0,0.127,0.8,0.881,262.6,99.32000000000001,5,1010,0.0000,0.0000,N/A
2012,1,1,9,30,0,0,0,0,0,0,0,4,126.5,0,0.127,0.8,0.981,257.7,98.86,5,1010,0.0000,0.0000,N/A
2012,1,1,10,30,0,0,0,0,0,0,0,4,114.12,0,0.127,0.9,1.094,249.5,100,4,1010,0.0000,0.0000,N/A
2012,1,1,11,30,0,0,0,0,0,0,0,4,102.07000000000001,0,0.127,0.9,1.186,240,100,4,1010,0.0000,0.0000,N/A
2012,1,1,12,30,0,0,0,0,0,0,0,4,90.57000000000001,0,0.127,0.9,1.2690000000000001,229.20000000000002,98.67,5,1010,0.0000,0.0000,N/A
2012,1,1,13,30,45,551,141,45,551,141,0,5,79.91,0,0.127,1,1.425,215.3,83.83,8,1010,6.7222,5.1232,N/A
2012,1,1,14,30,106,449,255,68,726,310,3,6,70.5,0,0.127,1.2000000000000002,1.729,205.4,67.1,12,1010,12.9957,10.0574,N/A
2012,1,1,15,30,146,515,380,82,799,446,7,7,62.92,0,0.127,1.8,2.067,198.60000000000002,62.940000000000005,16,1010,20.5686,16.0354,N/A
2012,1,1,16,30,239,90,287,91,830,532,3,11,57.92,0,0.127,2.4000000000000004,2.2680000000000002,213.8,64.84,18,1010,16.0075,12.5159,N/A
2012,1,1,17,30,187,6,191,94,837,560,3,12,56.21,0,0.127,2.7,2.369,220.5,67.92,19,1010,10.7465,8.4090,N/A
2012,1,1,18,30,242,174,335,93,816,525,2,14,58.08,0,0.127,2.8000000000000003,2.476,224.8,68.44,20,1000,18.6688,14.5956,N/A
2012,1,1,19,30,88,762,431,88,762,431,2,14,63.2,4,0.127,2.8000000000000003,2.599,226.5,71.71000000000001,20,1000,23.2849,18.1494,N/A
2012,1,1,20,30,75,655,290,75,655,290,0,15,70.88,0,0.127,2.6,2.692,225.10000000000002,78.36,19,1000,14.7284,11.3925,N/A
2012,1,1,21,30,52,418,122,52,418,122,3,15,80.36,4,0.127,2.3000000000000003,2.73,225.5,85.25,18,1000,0.0000,0.0000,N/A
2012,1,1,22,30,0,0,0,0,0,0,1,15,91.07000000000001,0,0.127,2.2,2.701,231.3,92.52,17,1000,0.0000,0.0000,N/A
2012,1,1,23,30,0,0,0,0,0,0,1,16,102.59,0,0.127,2.2,2.556,245.20000000000002,100,16,1000,0.0000,0.0000,N/A
2012,1,2,0,30,0,0,0,0,0,0,0,15,114.65,0,0.127,2.2,2.212,263.2,100,16,1000,0.0000,0.0000,N/A
2012,1,2,1,30,0,0,0,0,0,0,3,14,127.04,0,0.127,2.1,1.706,281.3,100,15,1010,0.0000,0.0000,N/A
2012,1,2,2,30,0,0,0,0,0,0,3,13,139.57,0,0.127,1.7000000000000002,1.2510000000000001,292.5,100,13,1010,0.0000,0.0000,N/A
2012,1,2,3,30,0,0,0,0,0,0,0,11,151.98,0,0.127,1.5,0.977,293.40000000000003,100,11,1010,0.0000,0.0000,N/A
