Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1059495,-,-,-,25.77,-80.22,0,5,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2013,1,1,0,30,0,0,0,0,0,0,1,17,113.83,0,0.154,5.2,1.813,110.30000000000001,78.8,21,1020,0.0000,0.0000,N/A
2013,1,1,1,30,0,0,0,0,0,0,3,17,127,0,0.154,5.2,1.818,113,79.36,21,1020,0.0000,0.0000,N/A
2013,1,1,2,30,0,0,0,0,0,0,3,17,140.37,0,0.154,5.1000000000000005,1.83,115.60000000000001,79.66,21,1020,0.0000,0.0000,N/A
2013,1,1,3,30,0,0,0,0,0,0,3,17,153.85,0,0.154,4.9,1.853,117.7,80.08,21,1020,0.0000,0.0000,N/A
2013,1,1,4,30,0,0,0,0,0,0,3,17,167.3,0,0.154,4.6000000000000005,1.881,119.60000000000001,80.51,21,1020,0.0000,0.0000,N/A
2013,1,1,5,30,0,0,0,0,0,0,1,17,176.93,0,0.154,4.3,1.9080000000000001,121.60000000000001,80.8,21,1020,0.0000,0.0000,N/A
2013,1,1,6,30,0,0,0,0,0,0,3,17,164.82,0,0.154,4.1000000000000005,1.931,123.4,80.92,21,1020,0.0000,0.0000,N/A
2013,1,1,7,30,0,0,0,0,0,0,3,17,151.34,0,0.154,4,1.944,124.5,80.84,21,1020,0.0000,0.0000,N/A
2013,1,1,8,30,0,0,0,0,0,0,3,17,137.87,0,0.154,4,1.943,125.7,80.62,21,1020,0.0000,0.0000,N/A
2013,1,1,9,30,0,0,0,0,0,0,3,17,124.53,0,0.154,4.2,1.93,126.60000000000001,80.28,21,1020,0.0000,0.0000,N/A
