Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1244568,-,-,-,40.69,-74.02,0,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2013,1,1,0,30,0,0,0,0,0,0,6,0,121.54,0,0.047,6.7,1.2710000000000001,246.3,95.34,1,1010,0.0000,0.0000,N/A
2013,1,1,1,30,0,0,0,0,0,0,6,0,132.9,0,0.047,6.9,1.391,251.10000000000002,89.39,1,1010,0.0000,0.0000,N/A
2013,1,1,2,30,0,0,0,0,0,0,6,0,144.02,0,0.047,6.800000000000001,1.462,253.60000000000002,91.23,1,1010,0.0000,0.0000,N/A
2013,1,1,3,30,0,0,0,0,0,0,6,0,154.16,0,0.047,6.7,1.425,252.8,92.97,1,1010,0.0000,0.0000,N/A
2013,1,1,4,30,0,0,0,0,0,0,6,0,161.23,0,0.047,6.6000000000000005,1.34,253.10000000000002,93.11,1,1010,0.0000,0.0000,N/A
2013,1,1,5,30,0,0,0,0,0,0,6,0,161.17000000000002,0,0.047,6.5,1.2630000000000001,256.1,100,1,1010,0.0000,0.0000,N/A
2013,1,1,6,30,0,0,0,0,0,0,7,0,154.03,0,0.047,6.2,1.208,262.1,99.60000000000001,0,1010,0.0000,0.0000,N/A
2013,1,1,7,30,0,0,0,0,0,0,7,0,143.87,0,0.047,6,1.161,268.2,98.44,0,1010,0.0000,0.0000,N/A
2013,1,1,8,30,0,0,0,0,0,0,7,0,132.74,0,0.047,6,1.115,271.40000000000003,96.82000000000001,0,1010,0.0000,0.0000,N/A
2013,1,1,9,30,0,0,0,0,0,0,7,0,121.38,0,0.047,5.9,1.09,272.2,95.7,0,1010,0.0000,0.0000,N/A
2013,1,1,10,30,0,0,0,0,0,0,7,0,110.16,0,0.047,5.800000000000001,1.084,272.40000000000003,95.01,0,1010,0.0000,0.0000,N/A
2013,1,1,11,30,0,0,0,0,0,0,7,0,99.35000000000001,0,0.047,5.7,1.096,272.8,94.47,0,1010,0.0000,0.0000,N/A
2013,1,1,12,30,0,0,0,0,0,0,7,0,89.22,0,0.047,5.7,1.115,273,94.02,0,1010,0.0000,0.0000,N/A
2013,1,1,13,30,42,0,42,54,451,132,6,0,80.13,0,0.047,5.6000000000000005,1.115,274.8,96.69,1,1010,0.0000,0.0000,N/A
2013,1,1,14,30,97,0,97,79,632,268,6,0,72.53,0,0.047,5.4,1.093,277.1,93.56,2,1010,4.8517,3.7439,N/A
2013,1,1,15,30,134,0,134,90,725,374,6,0,66.97,0,0.047,5.2,1.066,284.8,88.8,2,1010,7.0394,5.4696,N/A
2013,1,1,16,30,163,15,169,96,763,430,6,0,64.01,0,0.047,5.2,1.044,295,87.98,2,1010,9.0790,7.0724,N/A
2013,1,1,17,30,107,0,107,95,765,430,6,0,64.01,0,0.047,5.4,1.048,303.40000000000003,85.38,2,1010,5.7483,4.4778,N/A
2013,1,1,18,30,69,0,69,88,733,375,6,0,66.98,0,0.047,5.5,1.054,305,89.51,2,1010,3.6245,2.8162,N/A
2013,1,1,19,30,118,44,131,74,660,272,7,0,72.55,0,0.047,5.6000000000000005,1.022,312.20000000000005,86.84,1,1010,6.5510,5.0551,N/A
2013,1,1,20,30,66,95,82,51,497,136,4,-1,80.15,4,0.047,5.800000000000001,0.9520000000000001,319.40000000000003,89.9,0,1010,0.0000,0.0000,N/A
2013,1,1,21,30,0,0,0,0,0,0,7,-2,89.24,0,0.047,5.9,0.842,324.5,85.22,0,1010,0.0000,0.0000,N/A
2013,1,1,22,30,0,0,0,0,0,0,7,-2,99.37,0,0.047,5.9,0.722,330.20000000000005,80.36,0,1010,0.0000,0.0000,N/A
2013,1,1,23,30,0,0,0,0,0,0,7,-3,110.18,0,0.047,5.9,0.618,330.8,81.56,0,1010,0.0000,0.0000,N/A
2013,1,2,0,30,0,0,0,0,0,0,7,-4,121.4,0,0.047,5.800000000000001,0.521,328.6,77.26,-1,1010,0.0000,0.0000,N/A
2013,1,2,1,30,0,0,0,0,0,0,7,-5,132.76,0,0.047,5.800000000000001,0.432,328.6,78.97,-1,1010,0.0000,0.0000,N/A
2013,1,2,2,30,0,0,0,0,0,0,7,-5,143.88,0,0.047,5.9,0.372,329,74.29,-2,1010,0.0000,0.0000,N/A
2013,1,2,3,30,0,0,0,0,0,0,7,-6,154.02,0,0.047,5.9,0.337,328.8,74.52,-3,1010,0.0000,0.0000,N/A
2013,1,2,4,30,0,0,0,0,0,0,7,-7,161.11,0,0.047,5.800000000000001,0.322,330,74.86,-4,1010,0.0000,0.0000,N/A
2013,1,2,5,30,0,0,0,0,0,0,7,-8,161.12,0,0.047,5.5,0.321,334.20000000000005,76.42,-5,1010,0.0000,0.0000,N/A
2013,1,2,6,30,0,0,0,0,0,0,6,-8,154.04,0,0.047,5.1000000000000005,0.331,339.5,79.34,-5,1010,0.0000,0.0000,N/A
2013,1,2,7,30,0,0,0,0,0,0,6,-9,143.9,0,0.047,4.9,0.34400000000000003,342.3,77.04,-6,1010,0.0000,0.0000,N/A
2013,1,2,8,30,0,0,0,0,0,0,6,-9,132.77,0,0.047,4.7,0.36,343.8,81.46000000000001,-6,1010,0.0000,0.0000,N/A
2013,1,2,9,30,0,0,0,0,0,0,7,-9,121.42,0,0.047,4.7,0.376,344.40000000000003,80.01,-7,1010,0.0000,0.0000,N/A
2013,1,2,10,30,0,0,0,0,0,0,7,-10,110.19,0,0.047,4.6000000000000005,0.388,344.3,78.79,-7,1010,0.0000,0.0000,N/A
2013,1,2,11,30,0,0,0,0,0,0,7,-10,99.37,0,0.047,4.6000000000000005,0.398,340,77.72,-7,1010,0.0000,0.0000,N/A
2013,1,2,12,30,0,0,0,0,0,0,7,-10,89.23,0,0.047,4.7,0.405,332.70000000000005,76.79,-6,1010,0.0000,0.0000,N/A
2013,1,2,13,30,59,246,101,45,591,147,7,-10,80.13,0,0.047,5,0.40800000000000003,324.90000000000003,67.58,-5,1010,0.0000,0.0000,N/A
2013,1,2,14,30,108,322,205,63,764,293,7,-9,72.51,0,0.047,5.2,0.405,317.6,67.26,-3,1010,10.2555,7.9141,N/A
2013,1,2,15,30,124,483,314,76,827,401,7,-8,66.92,0,0.047,5.7,0.405,310.6,62.76,-2,1010,16.5020,12.8226,N/A
2013,1,2,16,30,137,522,366,82,855,458,7,-7,63.93,0,0.047,6.2,0.41500000000000004,306.90000000000003,62.08,0,1010,19.6734,15.3262,N/A
2013,1,2,17,30,190,212,283,82,853,457,7,-6,63.910000000000004,0,0.047,6.4,0.442,307.1,64.91,0,1010,15.2141,11.8524,N/A
2013,1,2,18,30,140,396,296,73,832,400,7,-6,66.86,0,0.047,6.300000000000001,0.485,309.3,66.94,0,1010,15.5635,12.0941,N/A
2013,1,2,19,30,102,373,215,64,752,291,4,-5,72.42,0,0.047,6.1000000000000005,0.533,312.70000000000005,68.98,0,1010,10.7648,8.3083,N/A
2013,1,2,20,30,67,114,87,46,573,146,7,-5,80.02,4,0.047,5.7,0.5720000000000001,315.5,71.17,-1,1010,0.0000,0.0000,N/A
2013,1,2,21,30,0,0,0,0,0,0,7,-5,89.10000000000001,0,0.047,5.300000000000001,0.598,316.70000000000005,77.94,-2,1010,0.0000,0.0000,N/A
2013,1,2,22,30,0,0,0,0,0,0,4,-5,99.23,0,0.047,5,0.611,314.20000000000005,77.98,-2,1010,0.0000,0.0000,N/A
2013,1,2,23,30,0,0,0,0,0,0,7,-5,110.04,0,0.047,4.9,0.613,309.40000000000003,77.94,-2,1020,0.0000,0.0000,N/A
2013,1,3,0,30,0,0,0,0,0,0,7,-5,121.26,0,0.047,4.800000000000001,0.605,308.20000000000005,83.45,-2,1020,0.0000,0.0000,N/A
2013,1,3,1,30,0,0,0,0,0,0,4,-5,132.62,0,0.047,4.6000000000000005,0.59,310.3,83.06,-2,1020,0.0000,0.0000,N/A
2013,1,3,2,30,0,0,0,0,0,0,7,-5,143.74,0,0.047,4.5,0.5690000000000001,313.20000000000005,82.64,-2,1020,0.0000,0.0000,N/A
2013,1,3,3,30,0,0,0,0,0,0,7,-5,153.88,0,0.047,4.6000000000000005,0.548,315.1,82.16,-2,1020,0.0000,0.0000,N/A
2013,1,3,4,30,0,0,0,0,0,0,7,-5,160.99,0,0.047,4.800000000000001,0.532,318.90000000000003,81.76,-2,1020,0.0000,0.0000,N/A
2013,1,3,5,30,0,0,0,0,0,0,7,-5,161.06,0,0.047,5,0.518,326.90000000000003,80.52,-3,1020,0.0000,0.0000,N/A
2013,1,3,6,30,0,0,0,0,0,0,7,-6,154.03,0,0.047,5.1000000000000005,0.504,335.20000000000005,84.28,-3,1020,0.0000,0.0000,N/A
2013,1,3,7,30,0,0,0,0,0,0,7,-6,143.92000000000002,0,0.047,5.2,0.488,340.40000000000003,80.27,-4,1020,0.0000,0.0000,N/A
2013,1,3,8,30,0,0,0,0,0,0,4,-7,132.81,0,0.047,5,0.466,344.1,82.01,-4,1020,0.0000,0.0000,N/A
2013,1,3,9,30,0,0,0,0,0,0,7,-8,121.45,0,0.047,4.800000000000001,0.444,347.3,77.35000000000001,-5,1020,0.0000,0.0000,N/A
2013,1,3,10,30,0,0,0,0,0,0,7,-9,110.22,0,0.047,4.5,0.429,350.1,79.21000000000001,-5,1020,0.0000,0.0000,N/A
2013,1,3,11,30,0,0,0,0,0,0,7,-9,99.39,0,0.047,4.1000000000000005,0.429,352.1,82.54,-6,1020,0.0000,0.0000,N/A
2013,1,3,12,30,0,0,0,0,0,0,7,-9,89.23,0,0.047,4,0.444,351.90000000000003,74.54,-6,1020,0.0000,0.0000,N/A
2013,1,3,13,30,57,288,106,49,546,143,7,-10,80.11,0,0.047,3.7,0.46900000000000003,348.6,67.7,-5,1020,0.0000,0.0000,N/A
2013,1,3,14,30,74,574,247,71,714,286,4,-9,72.47,0,0.047,3.4000000000000004,0.501,337.20000000000005,62.24,-3,1020,12.3612,9.5397,N/A
2013,1,3,15,30,110,556,329,84,785,392,4,-8,66.86,0,0.047,3.5,0.527,319.90000000000003,63.49,-1,1020,17.2986,13.4424,N/A
2013,1,3,16,30,72,793,421,91,809,448,7,-6,63.84,0,0.047,3.8000000000000003,0.546,305,63.95,0,1020,22.6441,17.6417,N/A
2013,1,3,17,30,93,802,447,93,802,447,1,-6,63.800000000000004,0,0.047,4.1000000000000005,0.5690000000000001,294.90000000000003,63.32,0,1010,24.0493,18.7370,N/A
2013,1,3,18,30,78,802,395,78,802,395,1,-5,66.74,0,0.047,4.3,0.612,286.6,65.98,0,1010,20.7888,16.1564,N/A
2013,1,3,19,30,71,702,285,71,702,285,1,-5,72.28,0,0.047,4.4,0.663,281.40000000000003,68.25,0,1010,14.2882,11.0300,N/A
2013,1,3,20,30,52,507,142,52,507,142,0,-4,79.87,0,0.047,4.3,0.6930000000000001,278.8,75.60000000000001,0,1010,6.7695,5.1595,N/A
2013,1,3,21,30,10,84,12,10,84,12,0,-5,88.96000000000001,0,0.047,4.4,0.6990000000000001,275,79.77,-1,1010,0.0000,0.0000,N/A
2013,1,3,22,30,0,0,0,0,0,0,0,-5,99.08,0,0.047,4.800000000000001,0.6960000000000001,271.40000000000003,83.37,-2,1010,0.0000,0.0000,N/A
2013,1,3,23,30,0,0,0,0,0,0,4,-5,109.9,0,0.047,5.1000000000000005,0.684,270.2,83.31,-3,1010,0.0000,0.0000,N/A
2013,1,4,0,30,0,0,0,0,0,0,4,-5,121.12,0,0.047,5.4,0.679,269,83.17,-3,1010,0.0000,0.0000,N/A
2013,1,4,1,30,0,0,0,0,0,0,4,-5,132.47,0,0.047,5.6000000000000005,0.7010000000000001,267.8,82.97,-3,1010,0.0000,0.0000,N/A
2013,1,4,2,30,0,0,0,0,0,0,4,-5,143.59,0,0.047,5.7,0.724,265.7,83.9,-3,1010,0.0000,0.0000,N/A
2013,1,4,3,30,0,0,0,0,0,0,4,-4,153.73,0,0.047,5.800000000000001,0.722,263.3,86.16,-3,1010,0.0000,0.0000,N/A
2013,1,4,4,30,0,0,0,0,0,0,4,-4,160.86,0,0.047,6.4,0.7000000000000001,262.90000000000003,87.74,-2,1010,0.0000,0.0000,N/A
2013,1,4,5,30,0,0,0,0,0,0,0,-4,161,0,0.047,6.9,0.672,268.7,84.84,-2,1010,0.0000,0.0000,N/A
2013,1,4,6,30,0,0,0,0,0,0,1,-3,154.03,0,0.047,6.9,0.647,275.8,86.83,-2,1010,0.0000,0.0000,N/A
2013,1,4,7,30,0,0,0,0,0,0,0,-3,143.94,0,0.047,6.800000000000001,0.63,279.8,86.88,-2,1010,0.0000,0.0000,N/A
2013,1,4,8,30,0,0,0,0,0,0,0,-3,132.83,0,0.047,6.5,0.618,281,86.61,-2,1010,0.0000,0.0000,N/A
2013,1,4,9,30,0,0,0,0,0,0,4,-3,121.47,0,0.047,6.300000000000001,0.611,280.40000000000003,86.23,-2,1010,0.0000,0.0000,N/A
2013,1,4,10,30,0,0,0,0,0,0,4,-4,110.24000000000001,0,0.047,6,0.61,278.2,85.86,-2,1010,0.0000,0.0000,N/A
2013,1,4,11,30,0,0,0,0,0,0,4,-4,99.4,0,0.047,5.800000000000001,0.622,274.2,85.78,-2,1010,0.0000,0.0000,N/A
2013,1,4,12,30,0,0,0,0,0,0,4,-4,89.23,0,0.047,6,0.643,269.3,79.88,-1,1010,0.0000,0.0000,N/A
2013,1,4,13,30,37,0,37,52,497,137,4,-3,80.10000000000001,0,0.047,6.4,0.662,262.90000000000003,77.47,0,1010,0.0000,0.0000,N/A
2013,1,4,14,30,122,240,195,73,684,279,4,-2,72.43,4,0.047,6.9,0.68,260,80.48,0,1010,9.7625,7.5346,N/A
2013,1,4,15,30,148,16,155,78,792,391,4,-3,66.79,4,0.047,7.2,0.709,262.2,73.75,1,1010,8.1544,6.3370,N/A
2013,1,4,16,30,168,20,177,84,820,447,4,-3,63.75,0,0.047,7.300000000000001,0.755,262.8,73.86,2,1010,9.5262,7.4222,N/A
2013,1,4,17,30,194,172,271,88,808,446,4,-2,63.68,0,0.047,7.2,0.81,262.7,75.45,2,1010,14.5925,11.3701,N/A
2013,1,4,18,30,90,743,386,90,743,386,1,-2,66.6,0,0.047,7.1000000000000005,0.855,263.40000000000003,77.43,2,1010,20.3377,15.8079,N/A
2013,1,4,19,30,79,654,280,79,654,280,0,-2,72.14,0,0.047,6.9,0.877,264.90000000000003,78.89,1,1010,14.0558,10.8529,N/A
2013,1,4,20,30,57,473,141,57,473,141,0,-2,79.72,0,0.047,6.800000000000001,0.876,265.3,85.82000000000001,1,1010,6.7208,5.1233,N/A
2013,1,4,21,30,11,78,13,11,78,13,0,-2,88.81,0,0.047,7,0.858,265,85.45,0,1010,0.0000,0.0000,N/A
2013,1,4,22,30,0,0,0,0,0,0,0,-2,98.94,0,0.047,7.2,0.8260000000000001,265.6,84.9,0,1010,0.0000,0.0000,N/A
2013,1,4,23,30,0,0,0,0,0,0,0,-2,109.75,0,0.047,7.2,0.778,267.40000000000003,84.69,0,1010,0.0000,0.0000,N/A
2013,1,5,0,30,0,0,0,0,0,0,0,-2,120.97,0,0.047,7.1000000000000005,0.719,268.5,84.36,0,1010,0.0000,0.0000,N/A
2013,1,5,1,30,0,0,0,0,0,0,0,-2,132.32,0,0.047,6.9,0.663,269.3,84.05,0,1010,0.0000,0.0000,N/A
2013,1,5,2,30,0,0,0,0,0,0,0,-2,143.44,0,0.047,6.800000000000001,0.621,271.2,83.88,0,1010,0.0000,0.0000,N/A
2013,1,5,3,30,0,0,0,0,0,0,0,-2,153.58,0,0.047,6.7,0.596,275,83.37,0,1010,0.0000,0.0000,N/A
2013,1,5,4,30,0,0,0,0,0,0,0,-2,160.72,0,0.047,6.6000000000000005,0.581,279.3,88.18,0,1010,0.0000,0.0000,N/A
2013,1,5,5,30,0,0,0,0,0,0,0,-3,160.92000000000002,0,0.047,6.5,0.553,283.8,85.87,-1,1010,0.0000,0.0000,N/A
2013,1,5,6,30,0,0,0,0,0,0,0,-3,154.01,0,0.047,6.300000000000001,0.51,286.40000000000003,83.47,-1,1010,0.0000,0.0000,N/A
2013,1,5,7,30,0,0,0,0,0,0,0,-3,143.95000000000002,0,0.047,6.1000000000000005,0.47500000000000003,286.90000000000003,87.64,-1,1010,0.0000,0.0000,N/A
2013,1,5,8,30,0,0,0,0,0,0,0,-4,132.85,0,0.047,5.9,0.46900000000000003,285.90000000000003,85.87,-2,1010,0.0000,0.0000,N/A
2013,1,5,9,30,0,0,0,0,0,0,0,-4,121.5,0,0.047,5.7,0.485,284,90.14,-2,1010,0.0000,0.0000,N/A
2013,1,5,10,30,0,0,0,0,0,0,4,-4,110.25,0,0.047,5.7,0.503,281.8,87.74,-3,1020,0.0000,0.0000,N/A
2013,1,5,11,30,0,0,0,0,0,0,4,-4,99.4,0,0.047,5.7,0.514,279.7,87.18,-3,1020,0.0000,0.0000,N/A
2013,1,5,12,30,0,0,0,0,0,0,0,-4,89.22,0,0.047,5.800000000000001,0.523,279.5,81.16,-2,1020,0.0000,0.0000,N/A
2013,1,5,13,30,49,545,143,49,545,143,1,-3,80.07000000000001,0,0.047,5.9,0.529,281.7,74.55,0,1020,0.0000,0.0000,N/A
2013,1,5,14,30,68,727,288,68,727,288,0,-2,72.38,0,0.047,5.9,0.536,286.8,81.2,1,1020,14.4251,11.1340,N/A
2013,1,5,15,30,79,802,396,79,802,396,1,-2,66.72,0,0.047,5.9,0.546,296.90000000000003,80,2,1020,20.8447,16.2002,N/A
2013,1,5,16,30,84,835,455,84,835,455,1,-1,63.65,0,0.047,5.5,0.559,303.5,76.88,3,1020,24.5054,19.0945,N/A
2013,1,5,17,30,91,713,408,85,834,456,2,-1,63.56,0,0.047,4.9,0.5710000000000001,308.5,72.55,3,1020,21.9878,17.1340,N/A
2013,1,5,18,30,82,791,399,82,791,399,1,-1,66.46000000000001,0,0.047,4.1000000000000005,0.577,311.8,73.15,3,1020,21.0460,16.3606,N/A
2013,1,5,19,30,72,712,292,72,712,292,1,-1,71.99,0,0.047,3.4000000000000004,0.578,310.90000000000003,79.76,2,1020,14.6787,11.3364,N/A
2013,1,5,20,30,51,546,150,51,546,150,0,0,79.57000000000001,0,0.047,2.9000000000000004,0.579,307,89.60000000000001,1,1020,7.1494,5.4510,N/A
2013,1,5,21,30,15,0,15,12,127,15,4,-1,88.65,4,0.047,2.8000000000000003,0.588,304.5,86.83,0,1020,0.0000,0.0000,N/A
2013,1,5,22,30,0,0,0,0,0,0,4,-2,98.78,0,0.047,2.7,0.607,303.7,82.26,0,1020,0.0000,0.0000,N/A
2013,1,5,23,30,0,0,0,0,0,0,7,-2,109.60000000000001,0,0.047,2.4000000000000004,0.633,299.1,80.48,0,1020,0.0000,0.0000,N/A
2013,1,6,0,30,0,0,0,0,0,0,4,-3,120.82000000000001,0,0.047,2,0.668,293.7,79.25,0,1020,0.0000,0.0000,N/A
2013,1,6,1,30,0,0,0,0,0,0,7,-3,132.17000000000002,0,0.047,2,0.74,281.3,78.78,0,1020,0.0000,0.0000,N/A
2013,1,6,2,30,0,0,0,0,0,0,7,-3,143.29,0,0.047,2.3000000000000003,0.858,255.9,79.87,0,1020,0.0000,0.0000,N/A
2013,1,6,3,30,0,0,0,0,0,0,7,-2,153.43,0,0.047,2.4000000000000004,1,246.4,82.22,0,1020,0.0000,0.0000,N/A
2013,1,6,4,30,0,0,0,0,0,0,7,-2,160.58,0,0.047,2.6,1.1380000000000001,233.3,83.7,0,1020,0.0000,0.0000,N/A
2013,1,6,5,30,0,0,0,0,0,0,7,-2,160.84,0,0.047,3,1.234,219.9,84.31,0,1020,0.0000,0.0000,N/A
2013,1,6,6,30,0,0,0,0,0,0,6,-2,153.99,0,0.047,3.5,1.322,234.10000000000002,85.01,0,1020,0.0000,0.0000,N/A
2013,1,6,7,30,0,0,0,0,0,0,7,-2,143.95000000000002,0,0.047,3.5,1.418,245.4,85.51,0,1020,0.0000,0.0000,N/A
2013,1,6,8,30,0,0,0,0,0,0,7,-2,132.87,0,0.047,3.5,1.413,241.8,85.56,0,1020,0.0000,0.0000,N/A
2013,1,6,9,30,0,0,0,0,0,0,7,-2,121.51,0,0.047,3.6,1.2770000000000001,225.3,92.8,0,1020,0.0000,0.0000,N/A
