Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1053576,-,-,-,46.33,-80.5,0,222,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2012,1,1,0,30,0,0,0,0,0,0,1,-7,117.44,0,0.866,0.5,0.512,81.4,87.92,-6,980,0.0000,0.0000,N/A
2012,1,1,1,30,0,0,0,0,0,0,7,-7,127.78,0,0.866,0.6000000000000001,0.515,112.9,87.9,-6,980,0.0000,0.0000,N/A
2012,1,1,2,30,0,0,0,0,0,0,7,-7,137.9,0,0.866,0.5,0.539,128,87.82000000000001,-6,980,0.0000,0.0000,N/A
2012,1,1,3,30,0,0,0,0,0,0,7,-7,147.14000000000001,0,0.866,0.4,0.603,138.20000000000002,88.95,-6,980,0.0000,0.0000,N/A
2012,1,1,4,30,0,0,0,0,0,0,7,-7,154.19,0,0.866,0.4,0.715,150,92.23,-6,980,0.0000,0.0000,N/A
2012,1,1,5,30,0,0,0,0,0,0,7,-6,156.69,0,0.866,0.5,0.861,152.8,88.18,-5,980,0.0000,0.0000,N/A
2012,1,1,6,30,0,0,0,0,0,0,4,-6,153.29,0,0.866,0.6000000000000001,1.01,155.60000000000002,85.51,-4,980,0.0000,0.0000,N/A
2012,1,1,7,30,0,0,0,0,0,0,4,-5,145.75,0,0.866,0.6000000000000001,1.1320000000000001,156.60000000000002,85.63,-3,980,0.0000,0.0000,N/A
2012,1,1,8,30,0,0,0,0,0,0,4,-4,136.3,0,0.866,0.7000000000000001,1.198,156.5,92.37,-3,980,0.0000,0.0000,N/A
2012,1,1,9,30,0,0,0,0,0,0,7,-3,126.10000000000001,0,0.866,0.7000000000000001,1.209,151.5,96.48,-2,980,0.0000,0.0000,N/A
2012,1,1,10,30,0,0,0,0,0,0,4,-3,115.77,0,0.866,0.8,1.198,148.1,91.60000000000001,-2,980,0.0000,0.0000,N/A
2012,1,1,11,30,0,0,0,0,0,0,4,-2,105.66,0,0.866,0.8,1.197,142.20000000000002,93.09,-2,980,0.0000,0.0000,N/A
2012,1,1,12,30,0,0,0,0,0,0,4,-2,96.08,0,0.866,0.9,1.222,137,94.43,-2,970,0.0000,0.0000,N/A
