Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1171427,-,-,-,48.05,-76.22,0,459,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2012,1,1,0,30,0,0,0,0,0,0,4,-9,120.45,0,0.866,0.7000000000000001,0.436,31.700000000000003,92.48,-9,960,0.0000,0.0000,N/A
2012,1,1,1,30,0,0,0,0,0,0,4,-10,130.42000000000002,0,0.866,0.7000000000000001,0.437,83.2,90.72,-9,960,0.0000,0.0000,N/A
2012,1,1,2,30,0,0,0,0,0,0,4,-10,139.98,0,0.866,0.8,0.444,130.1,86.62,-10,960,0.0000,0.0000,N/A
2012,1,1,3,30,0,0,0,0,0,0,4,-11,148.31,0,0.866,0.6000000000000001,0.452,162.20000000000002,88.04,-10,960,0.0000,0.0000,N/A
2012,1,1,4,30,0,0,0,0,0,0,7,-12,153.87,0,0.866,0.4,0.457,169.60000000000002,82.66,-10,960,0.0000,0.0000,N/A
2012,1,1,5,30,0,0,0,0,0,0,4,-12,154.61,0,0.866,0.30000000000000004,0.46,178.10000000000002,84.45,-10,960,0.0000,0.0000,N/A
2012,1,1,6,30,0,0,0,0,0,0,4,-11,150.15,0,0.866,0.2,0.456,196.5,81.5,-9,960,0.0000,0.0000,N/A
2012,1,1,7,30,0,0,0,0,0,0,4,-11,142.37,0,0.866,0.2,0.441,203.8,85.2,-9,960,0.0000,0.0000,N/A
2012,1,1,8,30,0,0,0,0,0,0,7,-11,133.04,0,0.866,0.30000000000000004,0.427,187.60000000000002,84.60000000000001,-9,960,0.0000,0.0000,N/A
2012,1,1,9,30,0,0,0,0,0,0,7,-10,123.12,0,0.866,0.4,0.445,177.4,86.18,-9,950,0.0000,0.0000,N/A
