Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1041732,-,-,-,26.05,-81.02,-5,4,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2012,1,1,0,0,0,0,0,0,0,0,0,15,173.11,0,0.11,1.2000000000000002,87.19,18,1020,N/A
2012,1,1,0,30,0,0,0,0,0,0,0,15,176.93,0,0.11,1.2000000000000002,92.84,17,1020,N/A
2012,1,1,1,0,0,0,0,0,0,0,0,16,171.97,0,0.11,1.2000000000000002,93.93,17,1020,N/A
2012,1,1,1,30,0,0,0,0,0,0,0,16,165.43,0,0.11,1.2000000000000002,93.91,17,1020,N/A
2012,1,1,2,0,0,0,0,0,0,0,0,16,158.73,0,0.11,1.2000000000000002,94.88,17,1020,N/A
2012,1,1,2,30,0,0,0,0,0,0,0,16,152,0,0.11,1.1,94.87,17,1020,N/A
2012,1,1,3,0,0,0,0,0,0,0,0,16,145.26,0,0.11,1.1,95.72,17,1020,N/A
2012,1,1,3,30,0,0,0,0,0,0,0,16,138.55,0,0.11,1.1,95.73,17,1020,N/A
2012,1,1,4,0,0,0,0,0,0,0,0,16,131.87,0,0.11,1.1,96.49000000000001,17,1020,N/A
2012,1,1,4,30,0,0,0,0,0,0,0,16,125.23,0,0.11,1.1,96.51,17,1020,N/A
2012,1,1,5,0,0,0,0,0,0,0,0,16,118.64,0,0.11,1.2000000000000002,97.18,17,1020,N/A
2012,1,1,5,30,0,0,0,0,0,0,0,16,112.12,0,0.11,1.2000000000000002,100,16,1020,N/A
2012,1,1,6,0,0,0,0,0,0,0,0,16,105.68,0,0.11,1.4000000000000001,100,16,1020,N/A
2012,1,1,6,30,0,0,0,0,0,0,0,16,99.34,0,0.11,1.4000000000000001,100,16,1020,N/A
2012,1,1,7,0,0,0,0,0,0,0,0,16,93.12,0,0.11,1.4000000000000001,100,16,1020,N/A
2012,1,1,7,30,19,208,30,19,208,30,0,16,87.05,0,0.11,1.7000000000000002,97.15,17,1020,N/A
2012,1,1,8,0,43,463,114,43,463,114,0,17,81.18,0,0.11,2,95.02,19,1020,N/A
2012,1,1,8,30,59,612,212,59,612,212,0,17,75.53,0,0.11,2,89.28,20,1020,N/A
2012,1,1,9,0,70,711,311,70,711,311,0,17,70.18,0,0.11,2,78.28,21,1020,N/A
2012,1,1,9,30,78,774,403,78,774,403,0,17,65.19,0,0.11,1.9000000000000001,73.64,22,1020,N/A
2012,1,1,10,0,84,818,485,84,818,485,0,16,60.660000000000004,0,0.11,1.8,66.2,23,1020,N/A
2012,1,1,10,30,89,849,555,89,849,555,0,16,56.7,0,0.11,1.7000000000000002,66.17,23,1020,N/A
2012,1,1,11,0,94,867,610,94,867,610,0,16,53.43,0,0.11,1.6,62.27,24,1020,N/A
2012,1,1,11,30,96,881,651,96,881,651,0,16,50.99,0,0.11,1.5,62.24,24,1020,N/A
2012,1,1,12,0,101,881,673,101,881,673,0,16,49.5,0,0.11,1.5,61.72,24,1020,N/A
2012,1,1,12,30,101,882,679,101,882,679,0,16,49.06,0,0.11,1.5,61.690000000000005,24,1020,N/A
2012,1,1,13,0,98,883,670,98,883,670,0,15,49.68,0,0.11,1.5,57.29,25,1020,N/A
2012,1,1,13,30,97,872,642,97,872,642,0,15,51.33,0,0.11,1.5,57.27,25,1020,N/A
2012,1,1,14,0,97,847,596,97,847,596,0,15,53.910000000000004,0,0.11,1.6,56.410000000000004,25,1020,N/A
2012,1,1,14,30,93,821,537,93,821,537,0,15,57.300000000000004,0,0.11,1.5,59.870000000000005,24,1020,N/A
2012,1,1,15,0,90,779,463,90,779,463,0,15,61.370000000000005,0,0.11,1.5,59.22,24,1020,N/A
2012,1,1,15,30,83,728,379,83,728,379,1,15,65.98,0,0.11,1.3,59.230000000000004,24,1020,N/A
2012,1,1,16,0,76,645,285,76,645,285,0,16,71.03,0,0.11,1.1,61.54,24,1020,N/A
2012,1,1,16,30,62,539,188,62,539,188,0,16,76.44,0,0.11,1,65.35,23,1020,N/A
2012,1,1,17,0,42,376,94,42,376,94,0,16,82.12,0,0.11,0.9,68.97,22,1020,N/A
2012,1,1,17,30,14,117,18,14,117,18,1,16,88.03,0,0.11,1,73.32000000000001,21,1020,N/A
2012,1,1,18,0,0,0,0,0,0,0,0,14,94.13,0,0.11,1.1,68.29,21,1020,N/A
2012,1,1,18,30,0,0,0,0,0,0,0,14,100.37,0,0.11,1.1,72.62,20,1020,N/A
2012,1,1,19,0,0,0,0,0,0,0,0,14,106.73,0,0.11,1.2000000000000002,72.9,20,1020,N/A
2012,1,1,19,30,0,0,0,0,0,0,0,14,113.18,0,0.11,1.2000000000000002,77.57000000000001,19,1020,N/A
2012,1,1,20,0,0,0,0,0,0,0,0,15,119.72,0,0.11,1.4000000000000001,79.07000000000001,19,1020,N/A
2012,1,1,20,30,0,0,0,0,0,0,1,15,126.31,0,0.11,1.5,84.16,18,1020,N/A
2012,1,1,21,0,0,0,0,0,0,0,3,15,132.96,0,0.11,1.6,87.07000000000001,18,1020,N/A
2012,1,1,21,30,0,0,0,0,0,0,1,15,139.65,0,0.11,1.7000000000000002,92.71000000000001,17,1020,N/A
2012,1,1,22,0,0,0,0,0,0,0,0,16,146.37,0,0.11,1.8,95.24,17,1020,N/A
2012,1,1,22,30,0,0,0,0,0,0,1,16,153.1,0,0.11,1.8,95.21000000000001,17,1020,N/A
2012,1,1,23,0,0,0,0,0,0,0,0,16,159.83,0,0.11,1.9000000000000001,96.11,17,1020,N/A
2012,1,1,23,30,0,0,0,0,0,0,0,16,166.52,0,0.11,1.8,100,16,1020,N/A
2012,1,2,0,0,0,0,0,0,0,0,0,16,172.97,0,0.11,1.7000000000000002,100,16,1020,N/A
2012,1,2,0,30,0,0,0,0,0,0,0,15,176.87,0,0.11,1.6,100,15,1020,N/A
2012,1,2,1,0,0,0,0,0,0,0,0,15,172.04,0,0.11,1.5,100,15,1020,N/A
2012,1,2,1,30,0,0,0,0,0,0,0,15,165.51,0,0.11,1.4000000000000001,100,15,1020,N/A
2012,1,2,2,0,0,0,0,0,0,0,0,15,158.82,0,0.11,1.4000000000000001,100,15,1020,N/A
2012,1,2,2,30,0,0,0,0,0,0,0,14,152.08,0,0.11,1.4000000000000001,100,14,1020,N/A
2012,1,2,3,0,0,0,0,0,0,0,0,14,145.35,0,0.11,1.4000000000000001,100,14,1020,N/A
2012,1,2,3,30,0,0,0,0,0,0,0,14,138.64000000000001,0,0.11,1.4000000000000001,100,14,1010,N/A
2012,1,2,4,0,0,0,0,0,0,0,0,14,131.95,0,0.11,1.4000000000000001,100,14,1010,N/A
2012,1,2,4,30,0,0,0,0,0,0,0,14,125.31,0,0.11,1.4000000000000001,100,14,1010,N/A
2012,1,2,5,0,0,0,0,0,0,0,0,14,118.72,0,0.11,1.5,100,14,1010,N/A
2012,1,2,5,30,0,0,0,0,0,0,0,14,112.19,0,0.11,1.5,100,14,1020,N/A
2012,1,2,6,0,0,0,0,0,0,0,1,14,105.75,0,0.11,1.5,100,14,1020,N/A
2012,1,2,6,30,0,0,0,0,0,0,0,14,99.4,0,0.11,1.4000000000000001,100,14,1020,N/A
2012,1,2,7,0,0,0,0,0,0,0,0,14,93.18,0,0.11,1.4000000000000001,100,14,1020,N/A
2012,1,2,7,30,19,224,30,19,224,30,0,16,87.11,0,0.11,1.6,100,16,1020,N/A
2012,1,2,8,0,42,483,116,42,483,116,1,16,81.22,0,0.11,1.8,93.66,18,1020,N/A
2012,1,2,8,30,57,632,214,57,632,214,0,16,75.57000000000001,0,0.11,2.1,88,19,1020,N/A
2012,1,2,9,0,120,361,242,67,723,312,3,16,70.21000000000001,0,0.11,2.4000000000000004,81.78,20,1020,N/A
2012,1,2,9,30,137,478,338,75,783,403,8,16,65.21000000000001,0,0.11,2.5,76.91,21,1020,N/A
2012,1,2,10,0,164,504,410,85,812,483,8,16,60.660000000000004,0,0.11,2.8000000000000003,70.45,22,1020,N/A
2012,1,2,10,30,178,544,477,89,840,551,8,16,56.68,0,0.11,3,66.29,23,1020,N/A
2012,1,2,11,0,203,533,521,96,851,604,8,16,53.4,0,0.11,3.3000000000000003,63.410000000000004,24,1020,N/A
2012,1,2,11,30,98,863,642,98,863,642,1,16,50.94,0,0.11,3.5,63.370000000000005,24,1010,N/A
2012,1,2,12,0,272,408,537,104,859,662,3,17,49.43,0,0.11,3.8000000000000003,65.56,24,1010,N/A
2012,1,2,12,30,311,245,473,104,858,668,3,17,48.97,0,0.11,4,65.53,24,1010,N/A
2012,1,2,13,0,249,22,264,141,769,640,4,17,49.57,0,0.11,4.3,66.97,24,1010,N/A
2012,1,2,13,30,76,0,76,138,756,612,7,17,51.21,0,0.11,4.5,66.97,24,1010,N/A
2012,1,2,14,0,165,0,165,141,720,567,4,17,53.79,0,0.11,4.800000000000001,66.26,24,1010,N/A
2012,1,2,14,30,162,0,162,135,691,510,4,17,57.17,0,0.11,5,70.37,23,1010,N/A
2012,1,2,15,0,183,19,192,128,647,439,7,16,61.230000000000004,0,0.11,5.2,66.23,23,1010,N/A
2012,1,2,15,30,147,398,310,117,592,359,8,16,65.84,0,0.11,5.300000000000001,70.38,22,1010,N/A
