Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,842370,-,-,-,29.77,-90.3,-6,2,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2012,1,1,0,30,0,0,0,0,0,0,4,16,171.16,0,0.128,2.4000000000000004,2.4130000000000003,187.60000000000002,100,16,1020,0.0000,0.0000,N/A
2012,1,1,1,30,0,0,0,0,0,0,3,16,159.73,0,0.128,2.4000000000000004,2.406,191.9,100,16,1020,0.0000,0.0000,N/A
2012,1,1,2,30,0,0,0,0,0,0,1,15,146.86,0,0.128,2.4000000000000004,2.43,196.60000000000002,100,15,1020,0.0000,0.0000,N/A
2012,1,1,3,30,0,0,0,0,0,0,1,15,133.85,0,0.128,2.4000000000000004,2.49,205,100,15,1020,0.0000,0.0000,N/A
2012,1,1,4,30,0,0,0,0,0,0,3,15,120.95,0,0.128,2.4000000000000004,2.584,213.4,100,15,1020,0.0000,0.0000,N/A
2012,1,1,5,30,0,0,0,0,0,0,1,16,108.3,0,0.128,2.4000000000000004,2.727,222.10000000000002,100,16,1020,0.0000,0.0000,N/A
2012,1,1,6,30,0,0,0,0,0,0,3,16,96.06,0,0.128,2.7,2.907,231.3,100,16,1020,0.0000,0.0000,N/A
2012,1,1,7,30,31,307,61,31,307,61,0,17,84.44,0,0.128,3,3.081,240.70000000000002,100,17,1020,0.0000,0.0000,N/A
2012,1,1,8,30,102,281,181,63,620,237,3,18,73.77,0,0.128,3.2,3.215,252.10000000000002,100,18,1020,8.9495,6.8923,N/A
2012,1,1,9,30,111,0,111,87,728,400,8,18,64.54,0,0.128,3.3000000000000003,3.247,268.6,96.78,19,1020,5.9406,4.6257,N/A
2012,1,1,10,30,168,559,469,98,795,526,7,18,57.46,0,0.128,3.5,3.106,292,88.88,20,1020,26.2220,20.5069,N/A
2012,1,1,11,30,280,183,390,101,835,599,3,16,53.42,0,0.128,3.7,2.782,313.40000000000003,80.83,20,1020,22.2261,17.4105,N/A
2012,1,1,12,30,245,403,487,104,840,609,2,14,53.120000000000005,0,0.128,3.7,2.344,325.3,71.03,20,1020,27.7897,21.7709,N/A
2012,1,1,13,30,225,390,440,98,833,557,2,12,56.61,4,0.128,3.9000000000000004,1.879,332.5,62.63,20,1020,24.7074,19.3298,N/A
2012,1,1,14,30,84,802,446,84,802,446,1,11,63.27,0,0.128,4.3,1.45,338.20000000000005,59.88,19,1020,24.0838,18.7712,N/A
2012,1,1,15,30,69,693,281,69,693,281,0,9,72.21000000000001,0,0.128,4.7,1.11,343.1,58.56,18,1020,14.0969,10.8834,N/A
2012,1,1,16,30,37,473,97,37,473,97,0,9,82.7,0,0.128,5,0.891,345.5,63.27,16,1020,0.0000,0.0000,N/A
2012,1,1,17,30,0,0,0,0,0,0,0,8,94.19,0,0.128,5.1000000000000005,0.768,346.8,69.77,14,1020,0.0000,0.0000,N/A
2012,1,1,18,30,0,0,0,0,0,0,0,8,106.36,0,0.128,5.1000000000000005,0.6920000000000001,348.3,73.93,13,1020,0.0000,0.0000,N/A
2012,1,1,19,30,0,0,0,0,0,0,0,8,118.95,0,0.128,5,0.637,348.5,78.53,12,1020,0.0000,0.0000,N/A
2012,1,1,20,30,0,0,0,0,0,0,3,8,131.82,0,0.128,5.2,0.6,348,82.29,11,1020,0.0000,0.0000,N/A
2012,1,1,21,30,0,0,0,0,0,0,0,7,144.82,0,0.128,5.2,0.5760000000000001,349.1,80.07000000000001,11,1020,0.0000,0.0000,N/A
2012,1,1,22,30,0,0,0,0,0,0,3,7,157.74,0,0.128,4.9,0.561,350.8,82.84,10,1020,0.0000,0.0000,N/A
2012,1,1,23,30,0,0,0,0,0,0,0,6,169.64000000000001,0,0.128,4.800000000000001,0.551,351.5,86.26,9,1020,0.0000,0.0000,N/A
2012,1,2,0,30,0,0,0,0,0,0,0,6,171.17000000000002,0,0.128,4.9,0.543,353.6,83.43,9,1020,0.0000,0.0000,N/A
2012,1,2,1,30,0,0,0,0,0,0,1,5,159.79,0,0.128,5,0.537,355.40000000000003,81.03,9,1020,0.0000,0.0000,N/A
2012,1,2,2,30,0,0,0,0,0,0,1,5,146.93,0,0.128,5,0.537,356.20000000000005,84.72,8,1020,0.0000,0.0000,N/A
2012,1,2,3,30,0,0,0,0,0,0,0,5,133.92000000000002,0,0.128,5,0.552,358,81.68,8,1020,0.0000,0.0000,N/A
2012,1,2,4,30,0,0,0,0,0,0,0,4,121.02,0,0.128,5,0.585,359.90000000000003,83.06,7,1030,0.0000,0.0000,N/A
