Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,772310,-,-,-,44.77,-93.54,-6,269,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2013,1,1,0,30,0,0,0,0,0,0,1,-23,158.06,0,0.866,1.2000000000000002,0.20700000000000002,345,80.3,-20,990,0.0000,0.0000,N/A
2013,1,1,1,30,0,0,0,0,0,0,1,-23,153.67000000000002,0,0.866,1.1,0.20600000000000002,321.8,80.12,-20,990,0.0000,0.0000,N/A
2013,1,1,2,30,0,0,0,0,0,0,7,-23,145.35,0,0.866,1.4000000000000001,0.20800000000000002,292.7,79.64,-21,990,0.0000,0.0000,N/A
2013,1,1,3,30,0,0,0,0,0,0,7,-23,135.37,0,0.866,1.7000000000000002,0.217,281.3,78.78,-21,990,0.0000,0.0000,N/A
2013,1,1,4,30,0,0,0,0,0,0,1,-23,124.82000000000001,0,0.866,1.9000000000000001,0.233,280.6,83.94,-22,990,0.0000,0.0000,N/A
2013,1,1,5,30,0,0,0,0,0,0,7,-23,114.21000000000001,0,0.866,1.8,0.259,279.6,83.81,-22,990,0.0000,0.0000,N/A
2013,1,1,6,30,0,0,0,0,0,0,8,-23,103.89,0,0.866,1.6,0.291,273.7,78.03,-21,990,0.0000,0.0000,N/A
2013,1,1,7,30,0,0,0,0,0,0,1,-23,94.14,0,0.866,1.5,0.325,261.2,79.68,-21,990,0.0000,0.0000,N/A
2013,1,1,8,30,28,422,62,28,422,62,8,-23,85.31,4,0.866,1.4000000000000001,0.359,246.20000000000002,75.38,-20,990,0.0000,0.0000,N/A
2013,1,1,9,30,56,673,198,56,673,198,1,-21,77.79,0,0.866,1.8,0.388,229.9,65.14,-17,990,9.4856,7.2524,N/A
2013,1,1,10,30,74,774,313,74,774,313,4,-19,72.05,4,0.866,2.5,0.41000000000000003,226.20000000000002,64.84,-13,990,15.7256,12.1438,N/A
2013,1,1,11,30,140,21,148,87,808,382,4,-17,68.59,4,0.866,3,0.426,226.8,64.61,-11,980,7.6709,5.9502,N/A
2013,1,1,12,30,147,29,158,94,803,398,4,-15,67.76,0,0.866,3.4000000000000004,0.437,226.5,63.480000000000004,-10,980,8.2467,6.4026,N/A
2013,1,1,13,30,109,0,109,91,768,358,4,-14,69.67,0,0.866,3.7,0.449,225.8,66.52,-8,980,5.5966,4.3357,N/A
2013,1,1,14,30,47,0,47,79,686,267,4,-12,74.10000000000001,0,0.866,3.7,0.462,222,67.98,-8,980,2.3169,1.7833,N/A
2013,1,1,15,30,55,516,139,55,516,139,4,-12,80.60000000000001,4,0.866,3.2,0.47700000000000004,220.4,72.71000000000001,-8,980,0.0000,0.0000,N/A
2013,1,1,16,30,16,0,16,13,115,16,4,-12,88.69,4,0.866,2.9000000000000004,0.495,220.20000000000002,78.48,-9,980,0.0000,0.0000,N/A
2013,1,1,17,30,0,0,0,0,0,0,4,-12,97.94,0,0.866,3,0.513,222.70000000000002,82.83,-10,980,0.0000,0.0000,N/A
2013,1,1,18,30,0,0,0,0,0,0,4,-11,107.95,0,0.866,3.2,0.527,229.4,85.41,-10,980,0.0000,0.0000,N/A
2013,1,1,19,30,0,0,0,0,0,0,4,-11,118.42,0,0.866,3.2,0.533,232.5,87.22,-10,980,0.0000,0.0000,N/A
2013,1,1,20,30,0,0,0,0,0,0,4,-11,129.05,0,0.866,3.1,0.534,233.10000000000002,86.65,-10,980,0.0000,0.0000,N/A
2013,1,1,21,30,0,0,0,0,0,0,4,-12,139.44,0,0.866,2.9000000000000004,0.532,229.20000000000002,90.45,-10,980,0.0000,0.0000,N/A
2013,1,1,22,30,0,0,0,0,0,0,4,-12,148.93,0,0.866,2.9000000000000004,0.526,222.3,87.05,-11,980,0.0000,0.0000,N/A
2013,1,1,23,30,0,0,0,0,0,0,4,-12,156.01,0,0.866,2.9000000000000004,0.517,215.70000000000002,86.89,-10,980,0.0000,0.0000,N/A
2013,1,2,0,30,0,0,0,0,0,0,4,-12,157.99,0,0.866,2.7,0.505,212,88.3,-10,980,0.0000,0.0000,N/A
2013,1,2,1,30,0,0,0,0,0,0,4,-12,153.65,0,0.866,2.5,0.493,208.9,88.18,-10,980,0.0000,0.0000,N/A
2013,1,2,2,30,0,0,0,0,0,0,4,-12,145.36,0,0.866,2.5,0.484,204.60000000000002,86.77,-11,980,0.0000,0.0000,N/A
2013,1,2,3,30,0,0,0,0,0,0,4,-12,135.4,0,0.866,2.5,0.47600000000000003,200.3,85.51,-11,980,0.0000,0.0000,N/A
2013,1,2,4,30,0,0,0,0,0,0,4,-13,124.85000000000001,0,0.866,2.4000000000000004,0.468,197.4,84.54,-11,980,0.0000,0.0000,N/A
2013,1,2,5,30,0,0,0,0,0,0,4,-13,114.24000000000001,0,0.866,2.2,0.462,195.20000000000002,82.91,-11,980,0.0000,0.0000,N/A
2013,1,2,6,30,0,0,0,0,0,0,4,-13,103.9,0,0.866,2.1,0.462,193.4,81.10000000000001,-11,980,0.0000,0.0000,N/A
2013,1,2,7,30,0,0,0,0,0,0,4,-13,94.15,0,0.866,2.1,0.47400000000000003,192.20000000000002,80.01,-11,980,0.0000,0.0000,N/A
2013,1,2,8,30,23,0,23,30,360,59,4,-13,85.3,4,0.866,2.4000000000000004,0.507,191.9,75.31,-10,980,0.0000,0.0000,N/A
2013,1,2,9,30,75,3,76,60,628,193,4,-12,77.76,4,0.866,2.8000000000000003,0.5640000000000001,199,76.66,-9,980,3.6415,2.7844,N/A
2013,1,2,10,30,115,17,121,79,734,306,4,-11,72,0,0.866,2.6,0.635,207.20000000000002,75.84,-8,980,6.0821,4.6971,N/A
2013,1,2,11,30,62,0,62,91,772,374,4,-10,68.51,0,0.866,2.3000000000000003,0.704,217.9,75.45,-7,980,3.2157,2.4946,N/A
